disease	summary	symptom
Radiation sickness	"<p>Radiation sickness is illness and symptoms resulting from excessive exposure to ionizing radiation.</p><p>There are two basic types of radiation: ionizing and nonionizing.</p><ul><li>Nonionizing radiation comes in the form of light, radio waves, microwaves and radar. This kind of radiation usually does not cause tissue damage.</li><li>Ionizing radiation is radiation that produces immediate chemical effects on human tissue . X-rays, gamma rays, and particle bombardment (neutron beam, electron beam, protons, mesons, and others) give off ionizing radiation. This type of radiation can be used for medical testing and treatment, industrial and manufacturing purposes, weapons and weapons development, and more.</li></ul></div>"	</div></div><div class="section-body" id="section-3"><p>You may have symptoms such as:</p><ul><li><a test="test" href="./003106.htm">Bleeding from the nose</a>, mouth, gums, and rectum</li><li>Bloody stool</li><li>Bruising</li><li>Confusion</li><li><a test="test" href="./000982.htm">Dehydration</a></li><li>Diarrhea</li><li>Fainting</li><li>Fatigue</li><li>Fever</li><li>Hair loss</li><li>Inflammation of exposed areas (redness, tenderness, swelling, bleeding)</li><li>Mouth ulcers</li><li>Nausea and vomiting</li><li>Open sores on the skin</li><li>Skin burns (redness, <a test="test" href="./003939.htm">blistering</a>)</li><li>Sloughing of skin</li><li>Ulcers (sores) in the esophagus (food pipe), stomach or intestines</li><li><a test="test" href="./003118.htm">Vomiting blood</a></li><li>Weakness</li></ul><p>Your health care provider will advise you how best to treat these symptoms. Medicines may be prescribed to help reduce nausea, vomiting, and pain. Blood transfusions may be given for <a test="test" href="./000560.htm">anemia</a> (low counts of healthy red blood cells). Antibiotics are used to prevent or fight infections.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>First Aid</h2></div><div class="section-button"><button type="submit" aria-controls="section-4" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Respiratory acidosis	"<p>Respiratory acidosis is a condition that occurs when the lungs cannot remove all of the carbon dioxide the body produces. This causes body fluids, especially the blood, to become too acidic.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms may include:</p><ul><li>Confusion</li><li>Easy fatigue</li><li>Lethargy</li><li>Shortness of breath</li><li>Sleepiness</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Respiratory alkalosis	"<p>Respiratory alkalosis is a condition marked by low levels of carbon dioxide in the blood due to breathing excessively.</p><p>See also: <a test="test" href="./001183.htm">Alkalosis</a></p></div>"	</div></div><div class="section-body" id="section-2"><p>The symptoms may include:</p><ul><li>Dizziness</li><li>Light-headedness</li><li>Numbness of the hands and feet</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Rheumatoid lung disease	"<p>Rheumatoid lung disease is a group of lung problems related to <a test="test" href="./000431.htm">rheumatoid arthritis</a>. The condition can include:</p><ul><li>Blockage of the small airways (bronchiolitis obliterans)</li><li>Fluid in the chest (<a test="test" href="./000086.htm">pleural effusions</a>)</li><li>High blood pressure in the lungs (<a test="test" href="./000112.htm">pulmonary hypertension</a>)</li><li>Lumps in the lungs (nodules)</li><li>Scarring (<a test="test" href="./000128.htm">pulmonary fibrosis</a>)</li></ul></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms may include any of the following:</p><ul><li>Chest pain</li><li><a test="test" href="./003072.htm">Cough</a></li><li>Fever</li><li><a test="test" href="./003075.htm">Shortness of breath</a></li><li>Joint pain</li><li><a test="test" href="./003261.htm">Joint stiffness</a></li><li><a test="test" href="./003262.htm">Joint swelling</a></li><li>Skin nodules</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Restrictive cardiomyopathy	"<p>Restrictive cardiomyopathy refers to a set of changes in how the heart muscle functions. These changes cause the heart to fill poorly (more common) or squeeze poorly (less common). Sometimes, both problems are present. </p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of <a test="test" href="./000158.htm">heart failure</a> are most common. These symptoms often develop slowly over time. However, symptoms sometimes start very suddenly and are severe.</p><p>Common symptoms are:</p><ul><li>Cough</li><li>Breathing problems that occur at night, with activity or when lying flat </li><li>
Radiation enteritis	"<p>Radiation <a test="test" href="./001149.htm">enteritis</a> is damage to the lining of the intestines (bowels) caused by <a test="test" href="./001918.htm">radiation therapy</a>, which is a type of cancer treatment.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms may vary, depending on which part of the intestines received the radiation. Symptoms can be worse if:</p><ul><li>You have chemotherapy at the same time as the radiation.</li><li>You receive stronger doses of radiation.</li><li>A larger area of your intestines receives radiation.</li></ul><p>Symptoms may occur during or shortly after or long after radiation treatment.</p><p>Changes in bowel movements may include:</p><ul><li>Bleeding or mucus from the rectum</li><li>Diarrhea or watery stools</li><li>Feeling the need to have a bowel movement most or all of the time</li><li>Pain in the rectal area, especially during bowel movements </li></ul><p>Other symptoms can include:</p><ul><li>Loss of appetite</li><li>Nausea and vomiting </li></ul><p>Most of the time, these symptoms get better within 2 to 3 months after radiation treatment ends. </p><p>When symptoms become long-term (chronic), other problems may include:</p><ul><li>Abdominal pain</li><li>Bloody diarrhea</li><li>Greasy or fatty stools</li><li>Weight loss </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Rickets	"<p>Rickets is a disorder caused by a lack of vitamin D, calcium, or phosphate. It leads to softening and weakening of the bones.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of rickets include:</p><ul><li><a test="test" href="./003180.htm">Bone pain or tenderness</a> in the arms, legs, pelvis, and spine </li><li><a test="test" href="./003298.htm">Decreased muscle tone</a> (loss of muscle strength) and <a test="test" href="./003174.htm">weakness</a> that gets worse</li><li>Dental deformities, including delayed tooth formation, defects in the tooth structure, holes in the enamel, and increased cavities (<a test="test" href="./001055.htm">dental caries</a>)</li><li><a test="test" href="./003021.htm">Impaired growth</a></li><li>Increased bone fractures</li><li><a test="test" href="./003193.htm">Muscle cramps</a></li><li><a test="test" href="./003271.htm">Short stature</a> (adults less than 5 feet tall)</li><li>Skeletal deformities such as an odd-shaped skull, <a test="test" href="./001585.htm">bowlegs</a>, bumps in the ribcage (rachitic rosary), breastbone that is pushed forward (pigeon chest), pelvic deformities, and spine deformities (spine that curves abnormally, including <a test="test" href="./001241.htm">scoliosis</a> or <a test="test" href="./001240.htm">kyphosis</a>) </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Raynaud phenomenon	"<p>Raynaud phenomenon is a condition in which cold temperatures or strong emotions cause blood vessel spasms. This blocks blood flow to the fingers, toes, ears, and nose.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Exposure to the cold or strong emotions bring on the changes.</p><ul><li>First, the fingers, toes, ears, or nose become white, and then turn blue.</li><li>When blood flow returns, the area becomes red and then later returns to normal color.</li><li>The attacks may last from minutes to hours. </li></ul><p>People with primary Raynaud phenomenon have problems in the same fingers on both sides. Most people do not have much pain.</p><p>People with secondary Raynaud phenomenon are more likely to have pain or tingling in the fingers. The pain is rarely severe. However, painful ulcers may form on the affected fingers if the attacks are very bad.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Rheumatoid arthritis	"<p>Rheumatoid arthritis (RA) is a long-term disease. It leads to inflammation of the joints and surrounding tissues. It can also affect other organs.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Most of the time, RA affects joints on both sides of the body equally. Wrists, fingers, knees, feet, and ankles are the most commonly affected.</p><p>The disease often begins slowly. Early symptoms may include minor joint pain, stiffness, and fatigue. </p><p>Joint symptoms may include:</p><ul><li>Morning stiffness, which lasts more than 1 hour, is common. Joints may feel warm, tender, and stiff when not used for an hour.</li><li>Joint pain is often felt in the same joint on both sides of the body. The joints are often swollen.</li><li>Over time, joints may lose their range of motion and may become deformed. </li></ul><img title="Rheumatoid arthritis" alt="Rheumatoid arthritis" src="//medlineplus.gov/ency/images/ency/fullsize/17130.jpg" class="img-e" itemprop="image"/><p>Other symptoms include:</p><ul><li>Chest pain when taking a breath (pleurisy)</li><li>Dry eyes and mouth (Sjogren syndrome)</li><li><a test="test" href="./003034.htm">Eye burning, itching, and discharge</a></li><li><a test="test" href="./003230.htm">Nodules</a> under the skin (most often a sign of more severe disease)</li><li>Numbness, tingling, or burning in the hands and feet</li><li>Sleep difficulties </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Rotator cuff problems	"<p>The rotator cuff is a group of muscles and tendons that attach to the bones of the shoulder joint, allowing the shoulder to move and keeping it stable.</p><ul><li>Rotator cuff <a test="test" href="./001229.htm">tendinitis</a> refers to irritation of these tendons and inflammation of the bursa (a normally smooth layer) lining these tendons.</li><li>A rotator cuff tear occurs when one of the tendons is torn from the bone from overuse or injury. </li></ul><img title="Normal rotator cuff" alt="Normal rotator cuff" src="//medlineplus.gov/ency/images/ency/fullsize/21755.jpg" class="img-e" itemprop="image"/></div>"	</div></div><div class="section-body" id="section-2"><p>TENDINITIS</p><p>Early on, pain is mild and occurs with overhead activities and lifting your arm to the side. Activities include brushing your hair, reaching for objects on shelves, or playing an overhead sport.</p><p>Pain is more likely in the front of the shoulder and may travel to the side of the arm. The pain always stops before the elbow. If the pain goes down the arm to the elbow and hand, this may indicate a pinched nerve in the neck.</p><p>There may also be pain when you lower the shoulder from a raised position. </p><img title="Inflamed shoulder tendons" alt="Inflamed shoulder tendons" src="//medlineplus.gov/ency/images/ency/fullsize/9855.jpg" class="img-e" itemprop="image"/><p>Over time, there may be pain at rest or at night, such as when lying on the affected shoulder. You may have weakness and loss of motion when raising the arm above your head. Your shoulder can feel stiff with lifting or movement. It may become more difficult to place the arm behind your back.</p><p>ROTATOR CUFF TEARS</p><p>The pain with a sudden tear after a fall or injury is usually intense. Right after the injury, you will likely have weakness of the shoulder and arm. It may be hard to move your shoulder or raise your arm above the shoulder. You may also feel snapping when trying to move the arm.</p><p>With a chronic tear, you often do not notice when it began. This is because symptoms of pain, weakness, and stiffness or loss of motion worsen slowly over time.</p><img title="Torn rotator cuff" alt="Torn rotator cuff" src="//medlineplus.gov/ency/images/ency/fullsize/21757.jpg" class="img-e" itemprop="image"/><p>Rotator cuff tendon tears often cause pain at night. The pain may even wake you. During the day, the pain is more tolerable, and usually only hurts with certain movements.</p><p>Over time, the symptoms become much worse, and are not relieved by medicines, rest, or exercise.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Reactive arthritis	"<p>Reactive arthritis is a group of conditions that may involve the joints, eyes, and urinary and genital systems. These areas become swollen and inflamed. It is often in response to infections.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Urinary symptoms will appear within days or weeks of an infection. These symptoms may include:</p><ul><li>Burning when urinating</li><li>Fluid leaking from the urethra (discharge)</li><li>Problems starting or continuing a urine stream</li><li>Needing to urinate more often than normal </li></ul><p>A low fever along with eye discharge, burning, or redness (<a test="test" href="./001010.htm">conjunctivitis</a> or "pink eye") can develop over the next several weeks.</p><p>Joint pain and stiffness also begins during this time period. The arthritis may be mild or severe. Arthritis symptoms may include:</p><ul><li><a test="test" href="./003181.htm">Heel pain</a> or pain in the Achilles tendon</li><li>Pain in the hip, knee, ankle, and low back</li><li>Pain that affects only one side of the body or more than one joint </li></ul><p>Symptoms may include <a test="test" href="./003220.htm">skin sores</a> on the palms and soles that look like <a test="test" href="./000434.htm">psoriasis</a>. There may also be small, painless <a test="test" href="./003228.htm">ulcers</a> in the mouth, tongue, and <a test="test" href="./002279.htm">penis</a>.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Reflux nephropathy	"<p>Reflux nephropathy is a condition in which the kidneys are damaged by the backward flow of urine into the kidney.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Some people have no symptoms of reflux nephropathy. The problem may be found when kidney tests are done for other reasons.</p><p>If symptoms do occur, they might be similar to those of: </p><ul><li><a test="test" href="./000471.htm">Chronic kidney failure</a></li><li><a test="test" href="./000490.htm">Nephrotic syndrome</a></li><li><a test="test" href="./000521.htm">Urinary tract infection</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Retroperitoneal fibrosis	"<p>Retroperitoneal fibrosis is a rare disorder that blocks the tubes (ureters) that carry urine from the kidneys to the bladder.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Early symptoms:</p><ul><li>Dull pain in the abdomen that increases with time</li><li>Pain and change of color in the legs (due to decreased blood flow)</li><li>Swelling of one leg </li></ul><p>Later symptoms:</p><ul><li><a test="test" href="./003147.htm">Decreased urine output</a></li><li>No urine output (anuria)</li><li>Nausea, vomiting, changes in mental status caused by kidney failure and build-up of toxic chemicals in the blood</li><li>Severe abdominal pain with hemorrhaging (due to death of intestinal tissue) </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Rhabdomyolysis	"<p>Rhabdomyolysis is the breakdown of muscle tissue that leads to the release of muscle fiber contents into the blood. These substances are harmful to the kidney and often cause kidney damage.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms may include:</p><ul><li>Dark, red, or cola-colored urine</li><li>Decreased urine output</li><li>General weakness</li><li>Muscle stiffness or aching (<a test="test" href="./003178.htm">myalgia</a>)</li><li>Muscle tenderness</li><li><a test="test" href="./003174.htm">Weakness</a> of the affected muscles </li></ul><p>Other symptoms that may occur with this disease:</p><ul><li><a test="test" href="./003088.htm">Fatigue</a></li><li><a test="test" href="./003261.htm">Joint pain</a></li><li><a test="test" href="./003200.htm">Seizures</a></li><li><a test="test" href="./003084.htm">Weight gain (unintentional)</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Renal papillary necrosis	"<p>Renal papillary necrosis is a disorder of the kidneys in which all or part of the renal papillae die. The renal papillae are the areas where the openings of the collecting ducts enter the kidney and where urine flows into the ureters.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of renal papillary necrosis may include:</p><ul><li>Back pain or <a test="test" href="./003113.htm">flank pain</a></li><li><a test="test" href="./003138.htm">Bloody, cloudy, or dark urine</a></li><li>Tissue pieces in the urine</li></ul><p>Other symptoms that may occur with this disease:</p><ul><li>Fever and chills</li><li><a test="test" href="./003145.htm">Painful urination</a></li><li>Needing to urinate more often than usual (frequent urination) or a sudden, strong urge to urinate (urgency)</li><li>Difficulty starting or maintaining a urine stream (<a test="test" href="./003143.htm">urinary hesitancy</a>)</li><li><a test="test" href="./003142.htm">Urinary incontinence</a></li><li>Urinating large amounts</li><li>Urinating often at night</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Renal vein thrombosis	"<p>Renal vein thrombosis is a <a test="test" href="./001124.htm">blood clot</a> that develops in the vein that drains blood from the kidney.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms may include:</p><ul><li>Blood clot to the lung</li><li>Bloody urine</li><li><a test="test" href="./003147.htm">Decreased urine output</a></li><li><a test="test" href="./003113.htm">Flank pain</a> or low back pain </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Renal cell carcinoma	"<p>Renal cell carcinoma is a type of kidney cancer that starts in the lining of very small tubes (tubules) in the kidney.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of this cancer may include any of the following:</p><ul><li><a test="test" href="./003120.htm">Abdominal pain</a> and swelling</li><li>Back pain</li><li><a test="test" href="./003138.htm">Blood in the urine</a></li><li>Swelling of the veins around a testicle (varicocele)</li><li><a test="test" href="./003113.htm">Flank pain</a></li><li><a test="test" href="./003107.htm">Weight loss</a></li><li><a test="test" href="./007622.htm">Excessive hair growth in females</a></li><li>Pale skin</li><li><a test="test" href="./003029.htm">Vision problems</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Renal pelvis or ureter cancer	"<p>Cancer of the renal pelvis or ureter is cancer that forms in the kidney\'s pelvis or the tube (ureter) that carries urine from the kidney to the bladder.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms may include any of the following:</p><ul><li>Back pain, most often where ribs and spine meet</li><li><a test="test" href="./003138.htm">Bloody urine</a></li><li>Burning, pain, or <a test="test" href="./003145.htm">discomfort with urination</a></li><li>Dark, rust-colored, or brown urine</li><li><a test="test" href="./003088.htm">Fatigue</a></li><li><a test="test" href="./003113.htm">Flank pain</a></li><li><a test="test" href="./003107.htm">Weight loss</a> that can\'t be explained</li><li><a test="test" href="./003140.htm">Urinary frequency or urgency</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Rocky Mountain spotted fever	"<p>Rocky Mountain spotted fever is a disease caused by a type of bacteria carried by ticks.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms usually develop about 2 to 14 days after the tick bite. They may include:</p><ul><li>Chills and fever</li><li>Confusion</li><li>Headache</li><li>Muscle pain</li><li>Rash -- usually starts a few days after the fever; first appears on wrists and ankles as spots that are 1 to 5 mm in diameter, then spreads to most of the body. About one-third of infected people do not get a rash. </li></ul><p>Other symptoms that may occur with this disease:</p><ul><li>Diarrhea</li><li><a test="test" href="./003041.htm">Light sensitivity</a></li><li>Hallucinations</li><li>Loss of appetite</li><li>Nausea and vomiting</li><li><a test="test" href="./003085.htm">Thirst</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Radial nerve dysfunction	"<p>Radial nerve dysfunction is a problem with the radial nerve. This is the nerve that travels from the armpit down the back of the arm to the hand. It helps you move your arm, wrist, and hand.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms may include any of the following:</p><ul><li>Abnormal sensations in the back and thumb side of the hand, or in the thumb, 2nd, and 3rd fingers</li><li>Weakness, loss of coordination of the fingers</li><li>Problem straightening the arm at the elbow</li><li>Problem bending the hand back at the wrist, or holding the hand</li><li>Pain, <a test="test" href="./003206.htm">numbness</a>, decreased sensation, tingling, or burning sensation in the areas controlled by the nerve</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Restless legs syndrome	"<p>Restless legs syndrome (RLS) is a nervous system problem that causes you to feel an unstoppable urge to get up and pace or walk. You feel uncomfortable unless you move your legs. Moving stops the unpleasant feeling for a short time.</p></div>"	</div></div><div class="section-body" id="section-2"><p>RLS leads to unpleasant feelings in your lower legs. These feelings cause an unstoppable urge to move your legs. You may feel:</p><ul><li>Creeping and crawling</li><li>Bubbling, pulling, or tugging</li><li>Burning or searing</li><li>Aching, throbbing, or pain</li><li>Itching or gnawing </li></ul><p>These sensations:</p><ul><li>Are worse at night when you lie down</li><li>Sometimes occur during the day</li><li>Start or get worse when you lie down or sit for long periods of time</li><li>May last for 1 hour or longer</li><li>Sometimes also occur in the upper legs, feet, or arms</li><li>Are relieved when you move or stretch as long as you keep moving </li></ul><p>Symptoms can make it difficult to sit during air or car travel, or through classes or meetings.</p><p>Stress or emotional upset can make symptoms worse.</p><p>Most people with RLS have rhythmic leg movements when they sleep. This condition is called periodic limb movement disorder. </p><p>All of these symptoms make it hard to sleep. Lack of sleep can lead to:</p><ul><li><a test="test" href="./003208.htm">Daytime sleepiness</a></li><li>Anxiety or depression</li><li>Confusion</li><li>Difficulty thinking clearly </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Rosacea	"<p>Rosacea is a chronic skin problem that makes your face turn red. It may also cause swelling and skin sores that look like <a test="test" href="./000873.htm">acne</a>.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms may include:</p><ul><li>Redness of the face</li><li>Blushing or flushing easily</li><li>A lot of spider-like blood vessels (telangiectasia) of the face</li><li>Red nose (called a <a test="test" href="./001037.htm">bulbous nose</a>)</li><li>Acne-like skin sores that may ooze or crust</li><li>Burning or stinging feeling in the face</li><li>Irritated, bloodshot, watery eyes </li></ul><p>The condition is less common in men, but the symptoms tend to be more severe.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Roseola	"<p>Roseola is a viral infection that commonly affects infants and young children. It involves a pinkish-red skin rash and high fever.</p></div>"	</div></div><div class="section-body" id="section-2"><p>The time between becoming infected and the beginning of symptoms (incubation period) is 5 to 15 days.</p><p>The first symptoms include:</p><ul><li>Eye redness</li><li>Irritability</li><li>Runny nose</li><li>Sore throat</li><li>High fever, that comes on quickly and may be as high as 105° F (40.5° C) and can last 3 to 7 days </li></ul><p>About 2 to 4 days after becoming sick, the child\'s fever lowers and a rash appears. This rash most often:</p><ul><li>Starts on the middle of the body and spreads to the arms, legs, neck, and face</li><li>Is pink or rose-colored</li><li>Has small sores that are slightly raised </li></ul><p>The rash lasts from a few hours to 2 to 3 days. It usually does not itch.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Retropharyngeal abscess	"<p>Retropharyngeal abscess is a collection of pus in the tissues in the back of the throat. It can be a life-threatening medical condition.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms include:</p><ul><li><a test="test" href="./003075.htm">Breathing difficulty</a></li><li>Difficulty swallowing</li><li><a test="test" href="./003048.htm">Drooling</a></li><li>High fever</li><li>High-pitched sound when inhaling (<a test="test" href="./003074.htm">stridor</a>)</li><li>Muscles between the ribs pull in when breathing (<a test="test" href="./003322.htm">intercostal retractions</a>)</li><li>Severe throat pain</li><li>Difficulty turning the head </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Retinal detachment	"<p>Retinal detachment is a separation of the light-sensitive membrane (retina) in the back of the eye from its supporting layers.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of detached retina can include:</p><ul><li>Bright flashes of light, especially in <a test="test" href="./002273.htm">peripheral</a> vision</li><li><a test="test" href="./003029.htm">Blurred vision</a></li><li>Floaters in the eye</li><li>Shadow or <a test="test" href="./003040.htm">blindness</a> in a part of the <a test="test" href="./003879.htm">visual field</a> of one eye</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Retinal artery occlusion	"<p>Retinal artery occlusion is a blockage in one of the small arteries that carry blood to the <a test="test" href="./002291.htm">retina</a>. The retina is a layer of tissue in the back of the eye that is able to sense light. </p></div>"	</div></div><div class="section-body" id="section-2"><p>Sudden blurring or loss of vision may occur in:</p><ul><li>All of one eye (central retinal artery occlusion or CRAO)</li><li>Part of one eye (branch retinal artery occlusion or BRAO)</li></ul><p>The retinal artery occlusion may last for only a few seconds or minutes, or it may be permanent.</p><p>A blood clot in the eye may be a warning sign of clots elsewhere. A clot in the brain may cause a stroke.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Retinitis pigmentosa	"<p>Retinitis pigmentosa is an eye disease in which there is damage to the <a test="test" href="./002291.htm">retina</a>. The retina is the layer of tissue at the back of the inner eye. This layer converts light images to nerve signals and sends them to the brain.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms often first appear in childhood. However, severe vision problems do not often develop before early adulthood.</p><ul><li>Decreased vision at night or in low light. Early signs may include having a harder time moving around in the dark.</li><li>Loss of side (peripheral) vision, causing "tunnel vision."</li><li>Loss of <a test="test" href="./002311.htm">central</a> vision (in advanced cases). This will affect the ability to read.</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Retinoblastoma	"<p>Retinoblastoma is a rare, cancerous tumor of a part of the eye called the retina.</p></div>"	</div></div><div class="section-body" id="section-2"><p>One or both eyes may be affected.</p><p>The pupil of the eye may appear white or have white spots. A white glow in the eye is often seen in photographs taken with a flash. Instead of the typical "red eye" from the flash, the pupil may appear white or distorted.</p><p>Other symptoms can include:</p><ul><li><a test="test" href="./001004.htm">Crossed eyes</a></li><li>Double vision</li><li>Eyes that do not align</li><li>Eye pain and redness</li><li><a test="test" href="./003029.htm">Poor vision</a></li><li>Differing <a test="test" href="./002386.htm">iris</a> colors in each eye </li></ul><p>If the cancer has spread, bone pain and other symptoms may occur.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Rhinophyma	"<p>Rhinophyma is a large, red-colored (ruddy) nose. The nose has a bulb shape.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms include changes in the nose, such as:</p><ul><li>Bulb-like (bulbous) shape</li><li>Many oil glands</li><li>Reddish color (possible)</li><li>Thickening of the skin</li><li>Waxy, yellow surface </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
